paperID,sex,n_plants,photoperiod,K_mix,Ca_mix,Mg_mix,NO3_mix,PO4_mix,SO4_mix,mix_total_ratio,gemma_cups,area,dry_weight_rank,dry_weight,weight,gametophores
1,male,6,18-20,1,0,0,,,,6,3,47,25,0.257,2.88,0
1,male,6,18-20,5,1,0,,,,6,81,158,14,0.587,8.69,4
1,male,6,18-20,5,0,1,,,,6,9,50,24,0.283,3.32,1
1,male,6,18-20,4,2,0,,,,6,50,145,15,0.581,7.06,15
1,male,6,18-20,4,1,1,,,,6,126,186,4,0.78,13.36,16
1,male,6,18-20,4,0,2,,,,6,0,55,23,0.309,3.4,4
1,male,6,18-20,3,3,0,,,,6,27,137,13,0.601,7.76,9
1,male,6,18-20,3,2,1,,,,6,126,201,1,0.848,12.93,7
1,male,6,18-20,3,1,2,,,,6,104,230,7,0.737,12.42,8
1,male,6,18-20,3,0,3,,,,6,2,65,22,0.317,3.49,3
1,male,6,18-20,2,4,0,,,,6,27,161,6,0.746,9.07,6
1,male,6,18-20,2,3,1,,,,6,86,219,3,0.813,11.55,1
1,male,6,18-20,2,2,2,,,,6,97,184,10,0.678,10.48,8
1,male,6,18-20,2,1,3,,,,6,83,200,11,0.667,10.21,4
1,male,6,18-20,2,0,4,,,,6,2,40,26,0.153,1.71,0
1,male,6,18-20,1,5,0,,,,6,2,167,9,0.703,8.15,1
1,male,6,18-20,1,4,1,,,,6,47,197,2,0.825,10.45,11
1,male,6,18-20,1,3,2,,,,6,57,178,8,0.718,10.46,12
1,male,6,18-20,1,2,3,,,,6,85,192,5,0.763,11.16,5
1,male,6,18-20,1,1,4,,,,6,58,170,12,0.654,8.76,6
1,male,6,18-20,1,0,5,,,,6,1,25,27,0.132,1.27,1
1,male,6,18-20,0,6,0,,,,6,5,73,20,0.337,3.68,3
1,male,6,18-20,0,5,1,,,,6,3,95,18,0.403,4.7,1
1,male,6,18-20,0,4,2,,,,6,9,112,16,0.477,5.76,6
1,male,6,18-20,0,3,3,,,,6,0,97,17,0.404,4.02,8
1,male,6,18-20,0,2,4,,,,6,9,80,21,0.328,3.49,11
1,male,6,18-20,0,1,5,,,,6,28,87,19,0.339,4.18,10
1,male,6,18-20,0,0,6,,,,6,0,25,28,0.102,1,0
1,female,6,18-20,1,0,0,,,,6,0,34,28,0.095,2.72,0
1,female,6,18-20,5,1,0,,,,6,0,103,21,0.356,6.32,3
1,female,6,18-20,5,0,1,,,,6,0,60,22,0.302,3.51,4
1,female,6,18-20,4,2,0,,,,6,6,129,14,0.523,7.23,1
1,female,6,18-20,4,1,1,,,,6,66,324,10,0.917,19.94,1
1,female,6,18-20,4,0,2,,,,6,0,70,25,0.272,4.38,1
1,female,6,18-20,3,3,0,,,,6,1,122,17,0.493,7.23,4
1,female,6,18-20,3,2,1,,,,6,9,375,4,1.155,21.38,0
1,female,6,18-20,3,1,2,,,,6,21,381,8,1.046,21.27,2
1,female,6,18-20,3,0,3,,,,6,7,105,18,0.487,6.95,4
1,female,6,18-20,2,4,0,,,,6,0,134,13,0.607,6.82,10
1,female,6,18-20,2,3,1,,,,6,3,315,5,1.123,18.62,0
1,female,6,18-20,2,2,2,,,,6,6,286,9,0.98,16.53,5
1,female,6,18-20,2,1,3,,,,6,41,442,2,1.314,23.54,2
1,female,6,18-20,2,0,4,,,,6,0,56,24,0.273,3.38,2
1,female,6,18-20,1,5,0,,,,6,0,136,12,0.619,7.86,8
1,female,6,18-20,1,4,1,,,,6,0,283,7,0.106,16.18,6
1,female,6,18-20,1,3,2,,,,6,0,374,6,1.123,18.75,5
1,female,6,18-20,1,2,3,,,,6,14,496,1,1.741,27.33,4
1,female,6,18-20,1,1,4,,,,6,13,370,3,1.297,21.33,7
1,female,6,18-20,1,0,5,,,,6,0,37,26,0.2,2.51,1
1,female,6,18-20,0,6,0,,,,6,0,36,23,0.283,2.54,6
1,female,6,18-20,0,5,1,,,,6,0,87,19,0.473,5.09,4
1,female,6,18-20,0,4,2,,,,6,0,141,11,0.697,7.58,7
1,female,6,18-20,0,3,3,,,,6,4,105,16,0.494,5.83,0
1,female,6,18-20,0,2,4,,,,6,2,134,15,0.518,7.27,4
1,female,6,18-20,0,1,5,,,,6,0,94,20,0.423,5,0
1,female,6,18-20,0,0,6,,,,6,0,25,27,0.164,1.94,0
1,male,6,18-20,,,,0,0,6,6,96,196,8,0.755,10.48,21
1,male,6,18-20,,,,1,0,0,6,52,194,6,0.795,12.52,13
1,male,6,18-20,,,,5,1,0,6,96,183,11,0.745,9.91,16
1,male,6,18-20,,,,5,0,1,6,62,210,5,0.806,12.59,8
1,male,6,18-20,,,,4,2,0,6,69,230,1,1.012,14.38,11
1,male,6,18-20,,,,4,1,1,6,105,205,15,0.727,10.1,31
1,male,6,18-20,,,,4,0,2,6,11,170,19,0.577,8.86,2
1,male,6,18-20,,,,3,3,0,6,62,236,4,0.837,12.8,11
1,male,6,18-20,,,,3,2,1,6,64,234,2,0.919,11.15,19
1,male,6,18-20,,,,3,1,2,6,86,197,13,0.738,9.56,19
1,male,6,18-20,,,,3,0,3,6,20,142,16,0.686,10.94,10
1,male,6,18-20,,,,2,4,0,6,47,175,9,0.753,8.78,14
1,male,6,18-20,,,,2,3,1,6,29,173,18,0.61,8.55,8
1,male,6,18-20,,,,2,2,2,6,75,244,10,0.745,11.72,5
1,male,6,18-20,,,,2,1,3,6,84,220,3,0.851,11.13,30
1,male,6,18-20,,,,2,0,4,6,22,150,21,0.513,7.48,16
1,male,6,18-20,,,,1,5,0,6,25,208,12,0.74,9.5,7
1,male,6,18-20,,,,1,4,1,6,14,204,17,0.629,9.28,5
1,male,6,18-20,,,,1,3,2,6,34,211,14,0.734,10.31,6
1,male,6,18-20,,,,1,2,3,6,64,215,7,0.783,10.32,11
1,male,6,18-20,,,,1,1,4,6,44,158,20,0.559,7.21,18
1,male,6,18-20,,,,1,0,5,6,4,80,25,0.265,3.23,9
1,male,6,18-20,,,,0,6,0,6,2,88,26,0.23,3.41,7
1,male,6,18-20,,,,0,5,1,6,2,75,28,0.206,2.93,5
1,male,6,18-20,,,,0,4,2,6,2,80,27,0.222,3.09,4
1,male,6,18-20,,,,0,3,3,6,1,77,24,0.286,3.46,9
1,male,6,18-20,,,,0,2,4,6,1,90,22,0.343,3.98,15
1,male,6,18-20,,,,0,1,5,6,0,80,23,0.331,3.63,15
1,female,6,18-20,,,,0,0,6,6,89,202,14,0.72,12.26,4
1,female,6,18-20,,,,1,0,0,6,30,532,1,1.861,33.66,1
1,female,6,18-20,,,,5,1,0,6,97,234,13,0.794,12.79,4
1,female,6,18-20,,,,5,0,1,6,22,370,5,1.142,21.62,3
1,female,6,18-20,,,,4,2,0,6,18,507,2,1.755,29.06,0
1,female,6,18-20,,,,4,1,1,6,50,252,9,0.926,14.21,16
1,female,6,18-20,,,,4,0,2,6,1,167,20,0.529,8.83,4
1,female,6,18-20,,,,3,3,0,6,0,284,10,0.88,15.63,5
1,female,6,18-20,,,,3,2,1,6,10,401,4,1.258,21.91,2
1,female,6,18-20,,,,3,1,2,6,6,280,7,1.069,16.17,6
